Rotor: R1-9x0d(90), Hopper: H0, RPM: 5.208333, Dose: 100.000000, Logger_Version: 0.2
x, y, z, size, die_time 
-57.734161, -14.220191, -99.024864, 0.975136, 630.459534 
3.192506, -12.239023, -98.617653, 1.382348, 646.036926 
-7.158907, -14.971527, -98.773384, 1.226617, 780.150696 
29.233263, -27.947945, -99.031654, 0.968348, 766.511963 
-19.519819, -1.553835, -98.836121, 1.163874, 620.436462 
50.684387, -5.784864, -99.021301, 0.978694, 489.211975 
-34.118851, -15.312428, -98.945358, 1.054641, 760.247314 
-23.406942, -28.896700, -98.350266, 1.649728, 492.587952 
-24.826872, -13.285175, -98.636803, 1.363194, 484.425812 
-44.674477, -12.149991, -98.273972, 1.726031, 643.317566 
41.019772, -18.348089, -98.995476, 1.004530, 481.937347 
-21.514729, -6.498604, -98.310455, 1.689545, 676.178040 
-37.263466, -15.351229, -98.673454, 1.326544, 626.342896 
-51.570713, -10.912424, -98.081284, 1.918712, 510.374420 
17.071930, -21.482689, -98.779152, 1.220840, 487.053497 
-25.321896, -9.231123, -98.724213, 1.275795, 482.733612 
-44.240055, -24.727276, -98.390694, 1.609306, 635.413818 
-31.817078, -16.106215, -98.050163, 1.949835, 500.663574 
-42.497124, -24.677313, -98.060043, 1.939958, 780.271667 
-11.711252, 1.243245, -98.824463, 1.175541, 620.106506 
11.287045, -3.842722, -98.419189, 1.580812, 504.084412 
-35.773556, -19.206604, -98.039909, 1.960089, 647.555481 
-14.332848, 0.839279, -98.949463, 1.050538, 765.549866 
-34.811684, -18.569048, -99.024879, 0.975120, 618.506348 
-40.691422, -17.545034, -98.215088, 1.784904, 638.750793 
-29.148956, -17.339485, -98.150368, 1.849639, 492.746582 
-24.178989, -21.478691, -98.629562, 1.370439, 630.432678 
-42.133110, -8.345416, -98.134308, 1.865701, 573.685547 
8.472394, -5.658719, -98.529419, 1.470583, 524.684326 
-24.938114, -4.920512, -98.611572, 1.388424, 634.852051 
-1.830529, -6.510425, -98.547256, 1.452732, 537.585754 
7.506516, -21.404001, -98.610474, 1.389530, 487.462128 
11.358171, -7.126576, -98.558823, 1.441180, 527.559265 
-23.164948, 1.444844, -98.422791, 1.577212, 641.945801 
-23.417332, -13.986132, -98.119675, 1.880322, 501.207550 
-44.577614, -15.755637, -98.591576, 1.408419, 768.358521 
-33.747803, -22.669991, -98.385269, 1.614731, 632.944031 
-18.132439, -7.325621, -98.301712, 1.698289, 659.926086 
-7.321012, -11.257749, -98.713036, 1.286968, 633.996033 
9.486332, -15.472500, -98.823036, 1.176964, 482.816101 
-21.690208, 3.364774, -98.607246, 1.392752, 482.361725 
16.810873, -16.680386, -98.832291, 1.167702, 482.592682 
-14.297119, -26.697662, -98.662628, 1.337366, 773.724854 
-7.648850, -8.385052, -98.280090, 1.719909, 506.058350 
-2.814144, -23.679939, -98.884079, 1.115928, 622.224792 
-28.955667, -15.740045, -98.647263, 1.352737, 625.287292 
-41.313133, -15.268509, -98.186279, 1.813719, 778.797607 
-34.396675, -6.636166, -98.000336, 1.999665, 690.819885 
-41.089272, 4.232276, -98.933060, 1.066946, 622.315552 
-0.389497, -9.391233, -98.527443, 1.472555, 651.526489 
-19.950872, 1.289083, -98.555542, 1.444456, 485.484314 
-36.796104, -8.066232, -98.067963, 1.932031, 513.895203 
1.093516, -7.526390, -98.606720, 1.393279, 678.702026 
-3.708220, -9.444542, -98.385971, 1.614039, 492.985535 
-31.767963, -11.879098, -98.057938, 1.942071, 654.677124 
-27.598961, -8.611700, -98.295799, 1.704195, 790.767151 
3.959450, -17.603554, -98.835022, 1.164984, 642.211914 
-23.983025, -7.157576, -98.177612, 1.822371, 649.585205 
-23.835880, -18.057285, -98.585510, 1.414491, 775.693848 
-29.239622, -11.997442, -98.111198, 1.888809, 792.429871 
-25.880415, -7.672471, -98.197800, 1.802200, 649.996643 
-23.433472, -11.035347, -99.021080, 0.978917, 760.263245 
-8.917801, -12.164865, -98.571228, 1.428776, 490.728333 
-8.923951, -19.934071, -98.433334, 1.566666, 486.951721 
-42.016846, -22.311773, -98.533630, 1.466364, 486.390289 
-8.901603, -15.886505, -98.806671, 1.193321, 632.293030 
-32.990715, -8.911704, -98.095657, 1.904341, 640.285461 
-53.268997, -13.151320, -98.256882, 1.743113, 494.366119 
-14.468682, -7.736436, -98.548164, 1.451832, 646.363098 
-37.433655, -8.590318, -98.058762, 1.941246, 982.791687 
-23.255478, -22.163004, -98.456543, 1.543455, 484.940552 
-20.571789, -20.938078, -98.448135, 1.551863, 490.255005 
-36.952797, -6.558058, -98.062202, 1.937793, 697.228394 
6.691241, -6.721367, -98.653099, 1.346900, 489.180237 
-31.258905, -8.053980, -98.041191, 1.958803, 498.429138 
-18.593035, -18.607182, -98.611633, 1.388366, 633.395874 
-48.704838, -3.265034, -98.702911, 1.297090, 485.956726 
-41.302780, -10.764322, -98.081833, 1.918164, 646.372681 
7.651869, -21.940760, -98.657227, 1.342776, 485.459503 
16.151522, -17.992224, -98.936272, 1.063727, 637.902832 
-50.987843, -10.688360, -98.334549, 1.665443, 498.890442 
-25.410847, -12.247829, -98.805550, 1.194449, 478.363312 
6.330373, -9.701588, -99.011169, 0.988822, 472.313843 
-22.121252, -9.516829, -98.213661, 1.786346, 719.102600 
-47.878738, -14.949142, -98.039246, 1.960753, 793.319519 
-27.358788, -6.562622, -98.226822, 1.773194, 640.661865 
16.387243, -11.642117, -98.384361, 1.615638, 489.454742 
-32.793777, -0.726169, -98.128174, 1.871827, 494.975647 
-5.698938, -9.959077, -98.949295, 1.050701, 619.426514 
2.415317, -12.845196, -98.631111, 1.368892, 785.372742 
-22.129185, -17.335659, -98.149429, 1.850572, 497.800659 
-26.141926, -13.206900, -98.192719, 1.807279, 641.155701 
-37.503532, -7.547173, -98.085037, 1.914962, 952.718079 
-33.466953, -15.089833, -98.353951, 1.646064, 638.979919 
-33.255001, -23.285336, -98.052811, 1.947195, 493.960205 
-36.327415, -11.123291, -98.508217, 1.491787, 628.649719 
12.057892, -7.153468, -98.622940, 1.377056, 689.259583 
-9.896954, -21.673986, -98.886002, 1.113999, 628.701233 
-41.033134, -25.332386, -98.357597, 1.642406, 774.640503 
-34.634449, -9.041518, -98.023911, 1.976085, 644.108032 
-33.716721, -21.403624, -98.127899, 1.872105, 492.407959 
-32.059631, -21.566315, -98.435532, 1.564461, 772.390930 
-27.173517, -9.422577, -98.387642, 1.612364, 782.026855 
-38.457050, -6.498899, -98.173828, 1.826164, 829.222778 
-26.172295, -2.871762, -98.403442, 1.596557, 647.867004 
-29.181814, -15.559155, -98.230591, 1.769413, 644.443787 
-45.705425, -2.455631, -98.148567, 1.851432, 807.520996 
-2.887594, -3.406872, -98.732773, 1.267226, 806.082764 
-40.723488, -4.595270, -98.377731, 1.622273, 647.141846 
